DIV_NAME,Algebra_I,Algebra_II,Biology,Chemistry,Civics_and_Econ,Earth_Science,English_Reading,Geography,Geometry,History,Mathematics,Science,US_History_I,US_History_II,VA_and_US_History,VA_Studies,World_History_I,World_History_II,Writing,All_Tests,fips,total_households,median_household_income,poverty
Accomack County,92.84875,87.9875,88.51625,93.595,81.43571429,83.595,85.335,87.62125,83.98375,87.386,82.456,87.188,74.94285714,85.91428571,85.86,88.51333333,77.865,82.2925,87.0825,85.49572055,51001,14333,39328,25.3
Albemarle County,93.575,88.235,93.15875,94.01625,88.59857143,90.0925,91.6775,86.11375,89.68625,88.39,86.7,90.672,79.58,86.83142857,91.545,82.49,92.66,92.5125,91.58125,89.37451316,51003,37964,67725,11.1
Alexandria City,76.42875,78.79625,76.26375,86.6275,79.66857143,75.47125,82.7825,,69.84625,80.776,72.966,82.902,72.57428571,82.85857143,83.56125,75.20666667,80.01,78.055,84.75375,78.86379696,51510,65369,85706,10.8
Alleghany County,79.6425,81.88,85.88875,84.6525,89.43142857,85.60125,88.555,84.405,78.23875,85.362,84.664,88.898,74.37142857,82.65571429,80.2225,81.06666667,76.80125,85.96,88.71875,83.52713095,51005,6773,44848,17.7
Amelia County,84.98625,86.7575,80.85875,86.985,78.96166667,87.09375,85.94375,,84.185,88.77,76.072,89.91,70.2675,78.406,86.82375,90.95333333,87.64,94.55,84.3175,84.637875,51007,4808,52885,7.9
Amherst County,83.0175,90.34,87.8925,95.84125,80.58571429,87.51125,85.37375,76.99428571,82.61375,87.256,77.674,91.452,76.36428571,86.71857143,81.27,83.77333333,88.11,82.68375,84.1725,84.71812845,51009,12680,44945,11.2
Appomattox County,83.7,74.21875,85.17625,93.22,82.30833333,89.11125,90.63,,78.37,91.838,84.226,91.718,83.162,89.37,87.63,89.7,85.6525,89.02125,88.90125,86.55297685,51011,5803,50167,26.6
Arlington County,92.41375,88.72625,88.07625,90.26375,,84.725,89.335,84.2475,85.75625,86.076,81.832,89.92,78.226,86.324,89.4125,90.92333333,90.08625,89.41625,92.34,87.67222685,51013,94454,103208,8.6
Augusta County,90.21,91.55375,89.16,93.9325,86.55285714,90.29875,88.8725,86.92,89.78,87.666,82.854,90.228,82.46428571,89.05142857,90.1225,87.49,92.27571429,93.6225,89.43875,89.07860714,51015,27999,52027,13.2
Bath County,86.2275,84.13875,83.75625,86.49,79.11857143,87.20625,88.0175,91.53857143,79.37125,85.604,80.73,87.66,69.4,84.88857143,89.0425,88.53666667,83.07571429,84.09333333,83.6775,84.34594361,51017,2101,51365,16.5
Bedford County,81.24,74.5725,86.175,87.5225,79.35,87.8775,88.5225,78.31125,80.03625,87.284,78.92,88.312,76.79142857,85.49857143,89.98,85.81,85.275,81.6225,87.46,83.71373684,51019,27233,57596,10.2
Bland County,85.75125,79.47375,88.58625,86.7175,85.83857143,88.49125,88.71875,80.44166667,81.55125,88.64,80.554,89.792,79.48285714,93.52428571,88.9825,91.81666667,89.37125,83.8,82.8875,86.02217356,51021,2480,42139,19.3
Botetourt County,92.47875,86.3125,91.58625,90.85125,90.55714286,92.495,92.705,72.175,85.4575,94.488,86.732,94.76,85.85,91.28,93.2875,93.70666667,92.70125,94.6,92.04375,90.21408208,51023,12825,65935,9.3
Bristol City,85.25875,93.125,91.30625,97.6075,85.92857143,87.7375,88.68,78.51375,86.30625,90.102,83.268,90.284,79.66,81.06571429,91.24625,90.39,96.72875,96.945,90.75125,88.67918609,51520,7674,32221,33.9
Brunswick County,86.43125,64.975,77.23125,70.385,82.32428571,73.69375,80.03625,72.12625,75.03,86.408,71.14,82.284,53.47,69.25428571,83.94,90.64333333,81.55285714,73.24875,82.12,76.64706642,51025,5826,36293,31.6
Buchanan County,87.8275,89.805,88.785,92.56,72.76166667,88.8625,87.3375,87.32,82.63,85.544,83.06,90.074,64.06333333,74.38333333,89.355,83.19,94.74,88.49875,84.99125,85.04151754,51027,9485,29848,35.8
Buckingham County,89.21625,87.82625,85.39,92.16125,80.98571429,81.83,86.9675,,83.39125,87.754,81.258,89.34,82.85428571,92.32142857,84.21,85.47333333,82.03,94.14,87.055,86.34468122,51029,5817,38648,31
Buena Vista City,76.07,73.30875,89.47375,91.42375,80.89142857,83.45125,86.2425,82.48375,76.3025,86.184,76.076,87.274,76.22571429,81.12571429,83.46375,77.75,81.19142857,74.16571429,85.46,81.50336842,51530,2738,36591,22.9
Campbell County,86.70375,83.69625,91.13,92.55,79.86,87.58625,88.75125,,84.0825,88.022,78.17,90.152,78.67714286,87.39285714,92.8125,81.74666667,89.68875,95.8325,89.13125,86.9992037,51031,21774,47162,16.7
Caroline County,81.51875,85.88625,78.6375,92.2175,71.27333333,77.59125,82.8475,67.6275,74.81875,89.38,74.068,87.246,78.61428571,91.145,86.42625,88.20666667,86.3225,83.96375,81.42875,82.06418609,51033,10680,57218,14.1
Carroll County,86.5375,82.96375,89.77125,85.985,81.02857143,86.68125,87.9025,81.81,85.61875,87.816,80.382,89.986,70.73285714,89.56285714,89.66625,85.73666667,84.33,83.255,88.38625,85.16591855,51035,12572,32853,25.5
Charles City County,75.17,67.82,86.5425,87.65375,80.26142857,86.4425,85.95375,71.96125,66.25125,85.782,75.146,87.652,78.09,85.44428571,87.96125,75.66666667,98.24714286,83.8625,90.77125,81.93050125,51036,2850,48428,12.9
Charlotte County,83.8875,85.59125,89.7075,84.3975,89.32,87.955,92.9925,69.64,80.89875,92.31,85.938,93.232,56.91,89.445,90.6375,92.90333333,83.935,77.71,95.3375,85.40780702,51037,4751,33015,21.5
Charlottesville City,80.81375,82.70875,79.85,85.48625,81.91428571,71.84125,83.79125,99.695,75.9625,85.898,78.196,83.016,80.01571429,89.71714286,84.21125,91.25,81.29875,75.76875,80.1125,82.71300752,51540,17443,44601,16.2
Chesapeake City,91.9775,89.9375,89.67125,93.43375,84.25571429,88.22125,91.22875,64.49166667,90.40625,91.942,86.312,92.368,86.24714286,92.62,92.08,93.29666667,89.56125,93.87375,91.345,89.11944424,51550,79421,69743,9.9
Chesterfield County,86.59375,84.6025,88.81,91.8425,85.34857143,86.2625,91.59125,92.32571429,79.055,90.194,86.138,92.602,77.21714286,88.15,89.84125,89.79333333,86.72875,91.475,87.50625,87.6882901,51041,113637,72088,7.4
Clarke County,81.18625,80.88375,88.395,84.3825,85.54571429,88.605,90.2575,79.46,84.40875,89.74,78.498,91.722,82.27571429,86.63285714,92.31875,89.86333333,83.42875,79.76,89.87375,85.64408521,51043,5580,77597,7.4
