,DIV_NAME,GEO.id,DIV_NUM,AVG_SOL_SCALE_SCORE,PASS_RATE,PASS_PROF_RATE,PASS_ADVANCED_RATE,FAIL_RATE,GEO.id2,total_households,median_household_income,mean_household_income,per_all_families_below_poverty_line,PME_all_families_below_poverty_line,per_all_families_with_children_under_18_years_below_poverty_line,PME_all_families_with_children_under_18_years_below_poverty_line
0,Accomack County,0500000US51001,1.0,454.503703704,85.477037037,64.1071111111,21.37,14.523037037,51001.0,14333.0,39328.0,51733.0,13.4,2.6,25.3,5.7
1,Albemarle County,0500000US51003,2.0,473.866666667,89.7791111111,56.6719259259,33.1072592593,10.2208888889,51003.0,37964.0,67725.0,96212.0,6.8,1.1,11.1,2.2
2,Alexandria City,0500000US51510,101.0,447.968503937,79.0182677165,57.7488188976,21.2694488189,20.9817322835,51510.0,65369.0,85706.0,115642.0,6.1,1.1,10.8,2.1
3,Alleghany County,0500000US51005,3.0,457.22962963,83.4634074074,59.4892592593,23.9735555556,16.5365925926,51005.0,6773.0,44848.0,56514.0,9.4,3.0,17.7,5.8
4,Amelia County,0500000US51007,4.0,451.760330579,85.0795041322,65.242231405,19.8371900826,14.920661157,51007.0,4808.0,52885.0,66164.0,8.1,2.8,7.9,5.6
5,Amherst County,0500000US51009,5.0,456.135338346,84.8148120301,62.3166165414,22.4982706767,15.1851879699,51009.0,12680.0,44945.0,55151.0,8.1,2.0,11.2,3.8
6,Appomattox County,0500000US51011,6.0,455.81300813,86.3328455285,64.3808130081,21.9514634146,13.6671544715,51011.0,5803.0,50167.0,58082.0,14.8,3.7,26.6,7.1
7,Arlington County,0500000US51013,7.0,467.483870968,87.9278225806,57.9793548387,29.9477419355,12.0721774194,51013.0,94454.0,103208.0,134933.0,5.5,0.8,8.6,1.4
8,Augusta County,0500000US51015,8.0,466.955223881,89.3276865672,61.1126865672,28.2145522388,10.6723880597,51015.0,27999.0,52027.0,65647.0,7.2,1.4,13.2,3.1
9,Bath County,0500000US51017,9.0,450.251908397,84.2725954198,65.3341221374,18.9383206107,15.727480916,51017.0,2101.0,51365.0,65393.0,12.3,7.5,16.5,16.1
10,Bedford County,0500000US51019,10.0,455.474074074,83.6314814815,60.3651851852,23.2661481481,16.3685185185,51019.0,27233.0,57596.0,71640.0,5.8,1.0,10.2,2.0
11,Bland County,0500000US51021,11.0,458.307692308,85.9092307692,62.8253846154,23.0836923077,14.0909230769,51021.0,2480.0,42139.0,49452.0,11.2,5.1,19.3,12.1
12,Botetourt County,0500000US51023,12.0,472.480916031,90.5319083969,59.2186259542,31.313129771,9.46809160305,51023.0,12825.0,65935.0,83266.0,5.6,1.6,9.3,3.0
13,Bristol City,0500000US51520,102.0,463.666666667,88.8123703704,63.1057037037,25.706962963,11.1877777778,51520.0,7674.0,32221.0,42160.0,19.6,4.1,33.9,8.1
14,Brunswick County,0500000US51025,13.0,433.671641791,76.0525373134,63.6500746269,12.4026119403,23.9474626866,51025.0,5826.0,36293.0,45167.0,18.2,4.9,31.6,9.3
15,Buchanan County,0500000US51027,14.0,453.424,85.18984,64.34032,20.8492,14.81016,51027.0,9485.0,29848.0,41760.0,21.3,3.3,35.8,7.2
16,Buckingham County,0500000US51029,15.0,457.062992126,86.4177165354,63.3355905512,23.0820472441,13.5823622047,51029.0,5817.0,38648.0,50806.0,16.0,3.9,31.0,8.3
17,Buena Vista City,0500000US51530,103.0,449.827067669,81.6357894737,61.2573684211,20.3788721805,18.3643609023,51530.0,2738.0,36591.0,44970.0,14.8,7.0,22.9,12.1
18,Campbell County,0500000US51031,16.0,460.779527559,87.4345669291,62.7449606299,24.6896062992,12.565511811,51031.0,21774.0,47162.0,57272.0,10.4,2.1,16.7,3.6
19,Caroline County,0500000US51033,17.0,448.356589147,82.2223255814,63.3724031008,18.8496899225,17.777751938,51033.0,10680.0,57218.0,69132.0,8.4,2.0,14.1,3.6
20,Carroll County,0500000US51035,18.0,455.081481481,85.1900740741,63.4468148148,21.7433333333,14.81,51035.0,12572.0,32853.0,44975.0,14.1,2.3,25.5,5.5
21,Charles City County,0500000US51036,19.0,441.0,81.9949253731,68.2618656716,13.7330597015,18.0050746269,51036.0,2850.0,48428.0,61804.0,9.4,2.7,12.9,5.7
22,Charlotte County,0500000US51037,20.0,455.596638655,86.5988235294,65.4848739496,21.1143697479,13.4012605042,51037.0,4751.0,33015.0,44916.0,11.7,3.0,21.5,6.1
23,Charlottesville City,0500000US51540,104.0,463.633587786,81.8654198473,50.6823664122,31.1833587786,18.1345801527,51540.0,17443.0,44601.0,65182.0,10.3,2.2,16.2,3.9
24,Chesapeake City,0500000US51550,136.0,468.390977444,89.2909774436,58.9381954887,30.352556391,10.7090225564,51550.0,79421.0,69743.0,83155.0,6.9,0.8,9.9,1.4
25,Chesterfield County,0500000US51041,21.0,464.753731343,87.5358955224,59.7241044776,27.8121641791,12.4641044776,51041.0,113637.0,72088.0,89034.0,4.9,0.6,7.4,0.9
26,Clarke County,0500000US51043,22.0,457.139534884,85.7169767442,62.5888372093,23.1279069767,14.2830232558,51043.0,5580.0,77597.0,100014.0,4.8,2.0,7.4,4.7
27,Colonial Heights City,0500000US51570,106.0,461.658914729,87.5706976744,62.1328682171,25.4374418605,12.429379845,51570.0,7017.0,50835.0,66214.0,6.3,2.1,10.3,4.1
28,Covington City,0500000US51580,107.0,442.118110236,79.832519685,64.2277952756,15.6048031496,20.1676377953,51580.0,2545.0,34319.0,44006.0,15.9,6.4,28.7,11.1
29,Craig County,0500000US51045,23.0,450.492063492,83.7068253968,64.4095238095,19.2971428571,16.2933333333,51045.0,2122.0,47806.0,53067.0,7.5,5.8,16.9,12.9
30,Culpeper County,0500000US51047,24.0,453.866141732,83.6928346457,61.4051968504,22.2873228346,16.3071653543,51047.0,16039.0,64423.0,77786.0,6.9,1.6,11.0,2.8
31,Cumberland County,0500000US51049,25.0,450.881889764,84.4265354331,64.7970866142,19.6296062992,15.5735433071,51049.0,4049.0,40557.0,52933.0,11.2,4.5,23.0,11.0
32,Danville City,0500000US51590,108.0,447.318518519,80.5762962963,61.3997037037,19.1768148148,19.4237777778,51590.0,18659.0,30786.0,44161.0,21.7,2.4,39.3,4.4
33,Dickenson County,0500000US51051,26.0,458.918518519,86.1185185185,61.5551851852,24.5637777778,13.8815555556,51051.0,6352.0,33318.0,43144.0,16.6,3.0,30.1,5.7
34,Dinwiddie County,0500000US51053,27.0,448.757575758,82.5317424242,63.9222727273,18.6093939394,17.4682575758,51053.0,9932.0,52027.0,62851.0,9.6,2.3,12.6,4.1
35,Essex County,0500000US51057,28.0,440.564885496,77.4133587786,60.3745801527,17.0393129771,22.5866412214,51057.0,4286.0,44885.0,54339.0,7.0,2.8,12.1,4.8
36,Fairfax County,0500000US51059,29.0,478.952755906,90.5620472441,53.7607874016,36.8011811024,9.43795275591,51059.0,389908.0,110292.0,139967.0,3.8,0.2,5.9,0.4
37,Falls Church City,0500000US51610,109.0,484.170731707,94.3527642276,56.5995121951,37.7526829268,5.64739837398,51610.0,5020.0,120000.0,146599.0,2.9,2.5,4.2,4.1
38,Fauquier County,0500000US51061,30.0,462.795275591,87.3872440945,61.1777165354,26.2101574803,12.6127559055,51061.0,23130.0,88409.0,110372.0,3.6,1.0,5.6,1.8
39,Floyd County,0500000US51063,31.0,462.763779528,87.1114173228,60.6596062992,26.4520472441,12.8885826772,51063.0,6086.0,44618.0,53012.0,9.5,3.3,13.0,6.5
40,Fluvanna County,0500000US51065,32.0,464.303278689,88.9131967213,62.4617213115,26.4524590164,11.0868852459,51065.0,9462.0,68288.0,82333.0,6.0,1.8,10.6,4.1
41,Franklin City,0500000US51620,135.0,432.842519685,75.5007086614,61.685511811,13.8145669291,24.4992913386,51620.0,3551.0,31928.0,46527.0,17.3,5.1,28.4,11.1
42,Franklin County,0500000US51067,33.0,469.380165289,89.7532231405,60.5695867769,29.1834710744,10.2467768595,51067.0,23358.0,45624.0,59126.0,10.3,1.9,17.0,3.8
43,Frederick County,0500000US51069,34.0,463.766129032,87.5890322581,60.8698387097,26.7197580645,12.4109677419,51069.0,29172.0,68424.0,80885.0,4.0,0.9,6.9,1.7
44,Fredericksburg City,0500000US51630,110.0,456.813432836,83.4953731343,58.4297761194,25.0659701493,16.5047014925,51630.0,9779.0,47040.0,67031.0,14.3,3.9,18.8,6.2
45,Galax City,0500000US51640,111.0,455.553030303,84.6465151515,61.9387878788,22.7075,15.3535606061,51640.0,3018.0,30325.0,48697.0,18.1,8.0,37.5,15.5
46,Giles County,0500000US51071,35.0,458.097014925,86.2364179104,62.5890298507,23.6474626866,13.7635820896,51071.0,7167.0,45141.0,55461.0,8.9,2.5,14.2,4.8
47,Gloucester County,0500000US51073,36.0,455.744186047,85.1539534884,62.8852713178,22.2691472868,14.8460465116,51073.0,13889.0,60519.0,73961.0,7.4,2.4,12.0,4.6
48,Goochland County,0500000US51075,37.0,466.511278195,89.7461654135,62.1062406015,27.64,10.2538345865,51075.0,8058.0,80976.0,122696.0,3.7,1.5,6.8,3.5
49,Grayson County,0500000US51077,38.0,449.669291339,82.7377952756,63.0274015748,19.71,17.2622047244,51077.0,6618.0,30710.0,45543.0,15.5,3.4,33.8,7.2
50,Greene County,0500000US51079,39.0,458.564885496,85.0180152672,60.296259542,24.7216793893,14.9819847328,51079.0,6897.0,59358.0,70762.0,7.4,2.6,12.5,5.3
51,Greensville County,0500000US51081,40.0,448.236220472,85.3506299213,68.9467716535,16.4038582677,14.6495275591,51081.0,3389.0,39697.0,55316.0,18.9,6.3,31.3,10.5
52,Halifax County,0500000US51083,41.0,453.577777778,83.9634074074,62.4226666667,21.5408148148,16.0365925926,51083.0,14770.0,34659.0,49141.0,17.8,2.4,29.7,4.1
53,Hampton City,0500000US51650,112.0,447.42962963,82.4686666667,64.5442222222,17.9238518519,17.5313333333,51650.0,52511.0,50705.0,62293.0,11.1,1.2,19.9,2.3
54,Hanover County,0500000US51085,42.0,475.4,92.0288888889,59.5817777778,32.4471851852,7.97111111111,51085.0,36927.0,75070.0,90159.0,3.4,0.8,4.8,1.2
55,Harrisonburg City,0500000US51660,113.0,455.480620155,82.781627907,58.5634108527,24.2181395349,17.2184496124,51660.0,15701.0,38048.0,51742.0,12.4,2.2,19.6,4.0
56,Henrico County,0500000US51087,43.0,469.8125,88.377734375,57.37109375,31.006328125,11.622265625,51087.0,123683.0,61048.0,81457.0,8.3,0.8,12.7,1.4
57,Henry County,0500000US51089,44.0,461.75,87.7432258065,62.3287096774,25.4147580645,12.2567741935,51089.0,22690.0,34984.0,46065.0,12.7,1.7,25.1,3.9
58,Highland County,0500000US51091,45.0,461.393162393,85.2215384615,60.1928205128,25.0291452991,14.7784615385,51091.0,1006.0,49625.0,59675.0,5.3,3.0,8.3,11.4
