DIV_NAME,Algebra_I,Algebra_II,Biology,Chemistry,Civics_and_Econ,Earth_Science,English_Reading,Geography,Geometry,History,Mathematics,Science,US_History_I,US_History_II,VA_and_US_History,VA_Studies,World_History_I,World_History_II,Writing,All_Tests,fips,total_households,median_household_income,poverty
Accomack County,450.75,447.375,448.375,444.375,463.1428571,446.375,457.625,457.125,437.375,487.4,475.8,468,451.8571429,481.1428571,449.625,485.6666667,440,442.625,449.875,457.0794486,51001,14333,39328,25.3
Albemarle County,472,461.625,465.875,467.625,484.7142857,457.25,488.75,447.625,466.25,501.6,495.8,484.2,472.2857143,492.7142857,466.75,477.3333333,479.75,471.375,478.125,475.3498747,51003,37964,67725,11.1
Alexandria City,431.625,441.375,430.25,448.625,457.5714286,429.75,458.125,,425.25,477.8,455.6,461.4,451,473,448.375,455,450.5,445.875,450.5,449.5345238,51510,65369,85706,10.8
Alleghany County,445.5,453.125,449,438.125,484.7142857,453.5,470.375,456.25,446,477,484.6,472,451,470.5714286,450.625,470.6666667,444,451,455.25,459.1211779,51005,6773,44848,17.7
Amelia County,438.375,440.5,434.25,432.25,445.5,444.75,462,,440.125,496.4,460.4,474.4,436.5,456.4,453.875,492,459.125,470.75,440.25,454.325,51007,4808,52885,7.9
Amherst County,445,457.875,448.625,459.625,451.4285714,454.125,461.25,447.5714286,444.25,491.6,465.2,479.8,450,474.1428571,443.875,468,456,451.625,449.375,457.8614662,51009,12680,44945,11.2
Appomattox County,437.625,430.125,438.875,446.625,458.6666667,452.625,470.375,,428.625,500.4,479.6,480.6,467.2,478,454.375,491,447.5,458.375,451.5,459.5606481,51011,5803,50167,26.6
Arlington County,463.5,462.75,456.375,460.5,,440.875,481.375,455.75,457.875,494.8,485.6,489.4,465.6,478.4,460.125,506.6666667,463.5,468.5,476.25,470.4356481,51013,94454,103208,8.6
Augusta County,453.5,468.875,449.5,453.125,473.2857143,457.875,470.5,459.375,459.125,498.8,479.6,478.2,473,486,463.25,486.3333333,475.8571429,464.75,459.25,468.9579574,51015,27999,52027,13.2
Bath County,442.5,429.625,436.875,428.875,450.1428571,448.25,464.5,451.8571429,433.375,481.2,472,468.6,438.1428571,470.2857143,460.25,479.6666667,443.4285714,451.5,449.375,452.6552005,51017,2101,51365,16.5
Bedford County,437.875,433.25,446.625,444.625,458.5714286,452.125,469.875,436.375,444.75,493.2,468,470.4,457.5714286,481,467.5,476.3333333,450.625,449.25,457.375,457.6487469,51019,27233,57596,10.2
